Thread Content,Lemmas
thats fella tied fendt teleporter onto 40ft claas flex header straighten hitting manhole tasty operator googled product never heard biological possibly trails seen heard yet ill wait cast judgement see another note syngenta biological fixing nitrogen trail work seems good ive used good different crops far first biostimulant ive ever used time tell vixeran vixeran contains endophytic bacterium azotobacter salinestris strain cect 9690 fixes atmospheric nitrogen n converts form absorbed plants wwwsyngentacouk,thats fella tied fendt teleporter onto 40ft claas flex header straighten hitting manhole tasty operator googled product never heard biological possibly trail seen heard yet ill wait cast judgement see another note syngenta biological fixing nitrogen trail work seems good ive used good different crop far first biostimulant ive ever used time tell vixeran vixeran contains endophytic bacterium azotobacter salinestris strain cect 9690 fix atmospheric nitrogen n convert form absorbed plant wwwsyngentacouk
talking one biggest independent trial companies ireland testing biologicals companies none work consistently,talking one biggest independent trial company ireland testing biologicals company none work consistently
first time found one makes look better first n applied hope didnt dilute 101020 bottle plot harvestergrim reaper say whether anything worthwhile,first time found one make look better first n applied hope didnt dilute 101020 bottle plot harvestergrim reaper say whether anything worthwhile
septoria bybv yellow tips leaves volunteer beans volunteer hybrid wild oats canary grass corners must say really tested spray today thanks god anthers 50 75 percent plants,septoria bybv yellow tip leaf volunteer bean volunteer hybrid wild oat canary grass corner must say really tested spray today thanks god anther 50 75 percent plant
picture doesnt justice crap looks driving,picture doesnt justice crap look driving
looks grand photo put head spray,look grand photo put head spray
went protendo extra full rate prosaro afaik prothio teb spoke people know also something else mix said gain stage negligible,went protendo extra full rate prosaro afaik prothio teb spoke people know also something else mix said gain stage negligible
better picture yellow tipping,better picture yellow tipping
yellow tipping septoria might ascochyta marks symptoms ascochyta leaf scorch spot cereals ahdb unlike many foliar diseases cereals ascochyta leaf scorch spot sporadic rarely severe ahdborguk ive come across bits days mainly far,yellow tipping septoria might ascochyta mark symptom ascochyta leaf scorch spot cereal ahdb unlike many foliar disease cereal ascochyta leaf scorch spot sporadic rarely severe ahdborguk ive come across bit day mainly far
patches definitely bydv stunted plants main yeah looks like pictures alright also whether variety bearing doubt nutrient deficiency anyway generous macro micro nutrients,patch definitely bydv stunted plant main yeah look like picture alright also whether variety bearing doubt nutrient deficiency anyway generous macro micro nutrient
little disease three weeks sowed near right 165 units sul,little disease three week sowed near right 165 unit sul
disease mine dirty enough looking,disease mine dirty enough looking
thats septoria ascocyta flag leaf see,thats septoria ascocyta flag leaf see
willow herb getting problem sure tilling shallower used wiped spring spray effect,willow herb getting problem sure tilling shallower used wiped spring spray effect
got head spray eve mix maxentis epsocombitop plenty septoria despite full rate revystar inatreq,got head spray eve mix maxentis epsocombitop plenty septoria despite full rate revystar inatreq
willow herb significant infection went roundup power max full rate gives biggest allowable rate glysphate 200l ac mid october greened left undisturbed give plenty time roundup work seems controlled 2 years agronomist advised like scutch roots rhizomes need mindful tilling prescription hed spotted sooner spray every 3 weeks post harvest try kill flushes willow herb ive also noticed prolific weed flower beds garden well seems come potted plants,willow herb significant infection went roundup power max full rate give biggest allowable rate glysphate 200l ac mid october greened left undisturbed give plenty time roundup work seems controlled 2 year agronomist advised like scutch root rhizome need mindful tilling prescription hed spotted sooner spray every 3 week post harvest try kill flush willow herb ive also noticed prolific weed flower bed garden well seems come potted plant
looking good first time growing followed agronomist recommendations letter bad timing wonder hit bad,looking good first time growing followed agronomist recommendation letter bad timing wonder hit bad
timing product ultra important lot unforgiving either arent spot compared cereals products rates used,timing product ultra important lot unforgiving either arent spot compared cereal product rate used
ascra t1 revystar t2 used general dirty worst ive ever seen,ascra t1 revystar t2 used general dirty worst ive ever seen
blackwater boy said ascra t1 revystar t2 used general dirty worst ive ever seen click expand yes ascara 27th april revystar 20th may gap probably big,blackwater boy said ascra t1 revystar t2 used general dirty worst ive ever seen click expand yes ascara 27th april revystar 20th may gap probably big
1 litre per ha revystar,1 litre per ha revystar
yikes thats 23 rate revystar need t1 full rate revystar t2 full rate inatreq 15l arizona sprays,yikes thats 23 rate revystar need t1 full rate revystar t2 full rate inatreq 15l arizona spray
yea 1 ltr per ha low,yea 1 ltr per ha low
something similar pictures see uk farmers forum say bad colour lot yellow tipping biggest problem though may light t2 pointed timings early reckon,something similar picture see uk farmer forum say bad colour lot yellow tipping biggest problem though may light t2 pointed timing early reckon
fair scorching done t2s inatreq fine hot doubled one headland low rate shows untreated also tipped always spray,fair scorching done t2s inatreq fine hot doubled one headland low rate show untreated also tipped always spray
opinion yes low t1 product considering amount disease time wouid choice easy say wasnt standing time,opinion yes low t1 product considering amount disease time wouid choice easy say wasnt standing time
dont know enough make changes whats recommended find sprays hard follow due changing rates ingredients trade names every suppose easy way learn mistakes said could fall trap next,dont know enough make change whats recommended find spray hard follow due changing rate ingredient trade name every suppose easy way learn mistake said could fall trap next
head spray done late november protioconazole combitop hopefully gate closed harvest,head spray done late november protioconazole combitop hopefully gate closed harvest
septoria levels october stuff,septoria level october stuff
blackwater boy arguably worse october stuff struggle keep top two leaves clean rainfall location probably days late t1 t0 breeder across yesterday another one today another one tuesday look septoria screening plots finding cleaner genetics major aim 3 different varieties pictured october zero fungicide input,blackwater boy arguably worse october stuff struggle keep top two leaf clean rainfall location probably day late t1 t0 breeder across yesterday another one today another one tuesday look septoria screening plot finding cleaner genetics major aim 3 different variety pictured october zero fungicide input
wow massive difference varieties,wow massive difference variety
yes green one amazing like fairies came sprayed plot every week since start 3 varieties french named yet always green variety need yield etc straw strength looks good also time tell septoria resistance robust many varieties cellule example started life clean relying one resistance gene septoria soon overcame others remained strong disease,yes green one amazing like fairy came sprayed plot every week since start 3 variety french named yet always green variety need yield etc straw strength look good also time tell septoria resistance robust many variety cellule example started life clean relying one resistance gene septoria soon overcame others remained strong disease
interest trial plots always untreated ones tell story super illustration good trial work bravo folpet whatever,interest trial plot always untreated one tell story super illustration good trial work bravo folpet whatever
lot people worried full rates expensive chemicals giving poor moderate levels septoria control best grown really like respect see many growers look first cereal slot replacement land suitable mentioned 3 separate breeders visited days well known uk breeding companies activities throughout uk europe septoria resistance main target big companies easy one solve years chemistry effective genetic resistance wasnt important market changed catching addition recent wet springs uk france etc made septoria big issue regions used pressure one breeders said northern french growers really struggling increased efforts benefit ireland long run ive mentioned goldcrop really increased focus finding wheats better septoria resistance many years breeders mentioned used send perhaps 810 varieties us testing lets say 30 varieties varieties ahead uk initially selected successful breeders past 34 years started sending us varieties also potential varieties earlier stages breeding program material sent bred become parents new varieties really early material total number tested trials 3 breeders alone increased approximately 2000 per aim spotting septoria resistance climate well tested one breeders particular see new trialing making big difference breeding program since first started large scale testing 4 years ago picture years septoria plots 2000 put plots aid navigating plots untreated disease used septoria data stage harvested yield measurement,lot people worried full rate expensive chemical giving poor moderate level septoria control best grown really like respect see many grower look first cereal slot replacement land suitable mentioned 3 separate breeder visited day well known uk breeding company activity throughout uk europe septoria resistance main target big company easy one solve year chemistry effective genetic resistance wasnt important market changed catching addition recent wet spring uk france etc made septoria big issue region used pressure one breeder said northern french grower really struggling increased effort benefit ireland long run ive mentioned goldcrop really increased focus finding wheat better septoria resistance many year breeder mentioned used send perhaps 810 variety u testing let say 30 variety variety ahead uk initially selected successful breeder past 34 year started sending u variety also potential variety earlier stage breeding program material sent bred become parent new variety really early material total number tested trial 3 breeder alone increased approximately 2000 per aim spotting septoria resistance climate well tested one breeder particular see new trialing making big difference breeding program since first started large scale testing 4 year ago picture year septoria plot 2000 put plot aid navigating plot untreated disease used septoria data stage harvested yield measurement
discussion day rotation meant us potentially putting autumn actually pondering wb instead margins using expensive chemicals high rates acceptable job debatable loss bravo made discernible difference,discussion day rotation meant u potentially putting autumn actually pondering wb instead margin using expensive chemical high rate acceptable job debatable loss bravo made discernible difference
melted parts weeks lack sun help mainly septoria ruined,melted part week lack sun help mainly septoria ruined
far away lads cutting looks ripe need take sample test moisture next week weather dries,far away lad cutting look ripe need take sample test moisture next week weather dry
picture put yesterday cut yesterday evening night plenty october almost ready mid next week see fit small grains poor grain fill cutting rare good idea,picture put yesterday cut yesterday evening night plenty october almost ready mid next week see fit small grain poor grain fill cutting rare good idea
yielding moisture ye results yet,yielding moisture ye result yet
wasnt mine belong customer work,wasnt mine belong customer work
week 10days away depending weather,week 10days away depending weather
cut graham yesterday 47 19 didnt look ripe stuck combine another morning 27,cut graham yesterday 47 19 didnt look ripe stuck combine another morning 27
took sample today 28 moisture give week least lots small grain hopeful yield,took sample today 28 moisture give week least lot small grain hopeful yield
around 20 ish,around 20 ish
snap,snap
also first bin headland 25 id pulled cut one see might leave till tomorrow see sun brings,also first bin headland 25 id pulled cut one see might leave till tomorrow see sun brings
first time acceptable moisture ye cut weather isnt great coming week 2nd bin headland dipped 25,first time acceptable moisture ye cut weather isnt great coming week 2nd bin headland dipped 25
mine mid october 2021 yesterday 1819 today got septoria pretty bad finish 35 tonac pity looked better new nee fella told drive 21 especially mixed weather next week,mine mid october 2021 yesterday 1819 today got septoria pretty bad finish 35 tonac pity looked better new nee fella told drive 21 especially mixed weather next week
weve cut circumstances acceptable moisture level go combine getting stuck probably rain night barely ripe current weather current weather isnt bad generally early august id rather cut 22,weve cut circumstance acceptable moisture level go combine getting stuck probably rain night barely ripe current weather current weather isnt bad generally early august id rather cut 22
must right thing ye lads 10th october cutting around trial plots didnt test moisture id expect 2122 based feel nice enough sample later small grains,must right thing ye lad 10th october cutting around trial plot didnt test moisture id expect 2122 based feel nice enough sample later small grain
youll bring half load side,youll bring half load side
gives runs coop lads youve heap cutting like numbering one combine 3,give run coop lad youve heap cutting like numbering one combine 3
ah thats reason lhs,ah thats reason lh
youre interested drop side youre like mike roche trailers wexico,youre interested drop side youre like mike roche trailer wexico
improving every bin still headland volunteer beans,improving every bin still headland volunteer bean
thats beautiful looking sample always mix darker paler grains grains part dark part pale,thats beautiful looking sample always mix darker paler grain grain part dark part pale
kph,kph
majority 731 734 one load 703 finished evening forgot take photo sample load shed morning cork jamesk lovely clean samples dont mine good,majority 731 734 one load 703 finished evening forgot take photo sample load shed morning cork jamesk lovely clean sample dont mine good
kph good grain fill decent thin yielding around 12 34 tonne per acre less looks youll thanks bonus nice clean pristine sample feed feed,kph good grain fill decent thin yielding around 12 34 tonne per acre le look youll thanks bonus nice clean pristine sample feed feed
yea surprised kph havent grown long time wouldnt good judge looked thick enough header anyway much cut around yet,yea surprised kph havent grown long time wouldnt good judge looked thick enough header anyway much cut around yet
use say us oz see grain window thats good enough point blowing grain back,use say u oz see grain window thats good enough point blowing grain back
must tip sieve open another first bin full broken straw closed maybe much,must tip sieve open another first bin full broken straw closed maybe much
finished today 44 tonacre bad suppose given weather disease pressure first beans one better yielding fields,finished today 44 tonacre bad suppose given weather disease pressure first bean one better yielding field
started afternoon moisture around 20,started afternoon moisture around 20
thats cut 2 fields champion days ripe,thats cut 2 field champion day ripe
started plots afternoon,started plot afternoon
first impressions plots yield isnt terrible plots weak areas kph generally 45 points,first impression plot yield isnt terrible plot weak area kph generally 45 point
kph back around yields 12 34 tonne back look like septoria lack sun,kph back around yield 12 34 tonne back look like septoria lack sun
tried 246,tried 246
savage straw around 15 bales per acre,savage straw around 15 bale per acre
11,11
yielding poorly around yielding either side 35 tac similar worst crops hit byvd septoria premature senescence rest 4 tac good particularly rented land difficult growing seasons poor yields annd lower prices inevitable years cost production thats killing job moment,yielding poorly around yielding either side 35 tac similar worst crop hit byvd septoria premature senescence rest 4 tac good particularly rented land difficult growing season poor yield annd lower price inevitable year cost production thats killing job moment
market rye serious contender replace early take bydv modest rates n cheap cheerful fungicide packages work yields like,market rye serious contender replace early take bydv modest rate n cheap cheerful fungicide package work yield like
definitely im hearing 10tn less fine yield good colour straw takeall severely,definitely im hearing 10tn le fine yield good colour straw takeall severely
price paid id reckon much grown become issue need separate grain store bin mill etc,price paid id reckon much grown become issue need separate grain store bin mill etc
cutting champion today first properly ripe weve cut far graham 17 20 moisture green next fine day quite ripe yet,cutting champion today first properly ripe weve cut far graham 17 20 moisture green next fine day quite ripe yet
job trapped pincer moment hard base rotation decisions single cashflow pinch determine lot rotations next,job trapped pincer moment hard base rotation decision single cashflow pinch determine lot rotation next
went look id recon still mid 20s looks nice grain doh holds might sunday,went look id recon still mid 20 look nice grain doh hold might sunday
looks really nice full healthy,look really nice full healthy
good bring second combine,good bring second combine
real boom style stuff,real boom style stuff
boom bust probably latter,boom bust probably latter
go worse intel,go worse intel
theres months want even worried,there month want even worried
goes hell take us,go hell take u
big fail,big fail
similar story although looked poor day sowed conditions werent ideal wet weather slugs job,similar story although looked poor day sowed condition werent ideal wet weather slug job
hand sample champion afternoon 223 could definitely another point combine sample maybe weekend,hand sample champion afternoon 223 could definitely another point combine sample maybe weekend
may carlow 2nd best tillage farmer action seen monday evening,may carlow 2nd best tillage farmer action seen monday evening
trailer hire carrig atv,trailer hire carrig atv
cut 25 acres champion tuesday evening well say cut 22 acres 3 acres nothing 2 acres thin dirty 20 acres nice 39 next still 4 5 days away,cut 25 acre champion tuesday evening well say cut 22 acre 3 acre nothing 2 acre thin dirty 20 acre nice 39 next still 4 5 day away
cut graham yesterday second average 435tac overall average 426t 20 moisture im pleased result performing well area,cut graham yesterday second average 435tac overall average 426t 20 moisture im pleased result performing well area
rock dunamase background,rock dunamase background
yes,yes
ive m8 good 6 months seen signs im sure see m8 electric picnic affecting next days,ive m8 good 6 month seen sign im sure see m8 electric picnic affecting next day
yeah seen motorway busy today gridlock tomorrow im lucky ground around yard tip shed needed dedicated phone number call escort machines etc honest electric picnic probably affect monday morning,yeah seen motorway busy today gridlock tomorrow im lucky ground around yard tip shed needed dedicated phone number call escort machine etc honest electric picnic probably affect monday morning
clean varieties rare one stood still stood combine went towards today,clean variety rare one stood still stood combine went towards today
started cutting 330 moistures place probably less 20 acres ahead us could cut looks yielding ok survived willow herb checked combine found disintegrated bearing took whole pulley always pat bearings finish evening,started cutting 330 moisture place probably le 20 acre ahead u could cut look yielding ok survived willow herb checked combine found disintegrated bearing took whole pulley always pat bearing finish evening
champion nice stuff,champion nice stuff
big grain quality inspiring like,big grain quality inspiring like
finished yesterday peaked 51 graham oats lowest 39 jb diego 2nd plenty graham go 45 id say go way costello quite soon nice fields champion fierce tough land yielded well given bits missing grain quality uninspiring bushelled okay didnt look nice,finished yesterday peaked 51 graham oat lowest 39 jb diego 2nd plenty graham go 45 id say go way costello quite soon nice field champion fierce tough land yielded well given bit missing grain quality uninspiring bushelled okay didnt look nice
making start today sure whats moisture coming rain tomorrow,making start today sure whats moisture coming rain tomorrow
kph champion 13 points average champion yielded 15 similar moistures block ground,kph champion 13 point average champion yielded 15 similar moisture block ground
visually look nice dull almost shrivelled looking disappointing considering clean disease wise,visually look nice dull almost shrivelled looking disappointing considering clean disease wise
yes looked decent lot lighter colour bigger plump grain similar looking grain barn buster varieties years gone like lion avatar spearhead lot small grain dense died quickly due septoria result shrivelled grain ye must little disease pressure able yields like got,yes looked decent lot lighter colour bigger plump grain similar looking grain barn buster variety year gone like lion avatar spearhead lot small grain dense died quickly due septoria result shrivelled grain ye must little disease pressure able yield like got
champion look like sure wouldnt looking little disease pressure yields typical region mostly ploughing long term direct drilled land,champion look like sure wouldnt looking little disease pressure yield typical region mostly ploughing long term direct drilled land
high yields first best result second thinking chancing second next,high yield first best result second thinking chancing second next
44 second high fertility land relatively free draining taken wet better,44 second high fertility land relatively free draining taken wet better
fare jamesk disappointed mine due getting fair hit septoria still willing try,fare jamesk disappointed mine due getting fair hit septoria still willing try
finished night absolute pleasure go combine started graham 41 spring osr finished champion 45 osr official moistures meter saying average 205 looks nice swarth straw good colour,finished night absolute pleasure go combine started graham 41 spring osr finished champion 45 osr official moisture meter saying average 205 look nice swarth straw good colour
44 ton per acre moisture around 20 22 id say average bushell weights yet cut weekend due real job commitments couldnt wait moisture drop grain small shrivelled thought probably due septoria comparison neighbours graham much nicer plump grains got 47 ton average crazy amount straw around 15 bales per acre weighed 180 200 kgs 4x4 decent bales,44 ton per acre moisture around 20 22 id say average bushell weight yet cut weekend due real job commitment couldnt wait moisture drop grain small shrivelled thought probably due septoria comparison neighbour graham much nicer plump grain got 47 ton average crazy amount straw around 15 bale per acre weighed 180 200 kg 4x4 decent bale
dam good results well done mine 35 11 bales acre,dam good result well done mine 35 11 bale acre
38t ac oats beet poorest crops id say disappointed getting great recent years continuous took grown break hasnt made difference continuous yielding similar years,38t ac oat beet poorest crop id say disappointed getting great recent year continuous took grown break hasnt made difference continuous yielding similar year
dawson grains alot darker colour graham mine,dawson grain alot darker colour graham mine
rye triticale fine getting 40t less wwheat takes shine modern varieties lot susceptible diseases older varietiesbut yields much better wholecrop rye works well digesters,rye triticale fine getting 40t le wwheat take shine modern variety lot susceptible disease older varietiesbut yield much better wholecrop rye work well digester
feed value rye definitely worth 40 less tho maybe 10 behind alright main issue easy cube mill use poultry feeds another ingredient mill handle keep separate store separate separate raw material bin grown might much issue,feed value rye definitely worth 40 le tho maybe 10 behind alright main issue easy cube mill use poultry feed another ingredient mill handle keep separate store separate separate raw material bin grown might much issue
got tested protein 106 moisture 19 kph 734 sure tons still treated 2 fields done 42tac another fields fit plough time around 3235tac,got tested protein 106 moisture 19 kph 734 sure ton still treated 2 field done 42tac another field fit plough time around 3235tac
darker colour dark colour usually indication higher protein generally smaller seed size protein gets concentrated im thinking isnt suiting none varieties great septoria showed exposed terms varieties chemistry available know later fill grain varieties closed finished filling whereas others slipped different ahead many,darker colour dark colour usually indication higher protein generally smaller seed size protein get concentrated im thinking isnt suiting none variety great septoria showed exposed term variety chemistry available know later fill grain variety closed finished filling whereas others slipped different ahead many
ok thanks,ok thanks
filled trailer quickly december graham started cutting 530 stop got shower wind dried 20 minutes drier twenty acre resowed spring,filled trailer quickly december graham started cutting 530 stop got shower wind dried 20 minute drier twenty acre resowed spring
pigmen like replace 50 rye thats well good cant keep ergot itand becomes worthless rye pigs mainly grown pigmen nobody wants take risk growing threat ergot bother triticale pigs poultry like use merchants gathering rye want extra vigilant ergot doesnt take much starts killing animals,pigman like replace 50 rye thats well good cant keep ergot itand becomes worthless rye pig mainly grown pigman nobody want take risk growing threat ergot bother triticale pig poultry like use merchant gathering rye want extra vigilant ergot doesnt take much start killing animal
yielding well enough despite willow herb missing patches,yielding well enough despite willow herb missing patch
joys w 24 trying lift tramlines well compacted,joy w 24 trying lift tramline well compacted
consciences second wheats growing first wheats years disappointing results yield bear mind used home saved seed years went certified seed first wheats still poorish results yeilds im thinking problem isnt tak missed one spray timing dificult spring late sowing considering second hoping manage better thinking take,conscience second wheat growing first wheat year disappointing result yield bear mind used home saved seed year went certified seed first wheat still poorish result yeilds im thinking problem isnt tak missed one spray timing dificult spring late sowing considering second hoping manage better thinking take
youre struggling 1st wouldnt recommend bothering second cost probably less yield terrible dont plan giving great us years new varieties pipeline welcome also hope syngentas new fungicide gets line 2026 season takeall probably best named disease ive ever heard takeall youll f,youre struggling 1st wouldnt recommend bothering second cost probably le yield terrible dont plan giving great u year new variety pipeline welcome also hope syngentas new fungicide get line 2026 season takeall probably best named disease ive ever heard takeall youll f
one stage two big fields continuous two wheats sugar beet went mintill continuous got run sterile brome seed dressing changed sow earlier first wheats yielding entertain second wheats cost,one stage two big field continuous two wheat sugar beet went mintill continuous got run sterile brome seed dressing changed sow earlier first wheat yielding entertain second wheat cost
barleys pretty decent well capable leaving similar margin wheats rye also option modern spring barleys yielding well lot better safer options 2nd wheats dont know anyone grows 2nd wheats anymore,barley pretty decent well capable leaving similar margin wheat rye also option modern spring barley yielding well lot better safer option 2nd wheat dont know anyone grows 2nd wheat anymore
im giving another go next poor result ill dropping,im giving another go next poor result ill dropping
chance second also could done bits better sowing date timings rates fungicides maybe held back n yield penalty could hit 2nd vs 1st,chance second also could done bit better sowing date timing rate fungicide maybe held back n yield penalty could hit 2nd v 1st
probably 1tnacre itll need latitude seed itll need extra n later dont apply lime ahead encourage takeall second best heavier soil compromised roots need moisture,probably 1tnacre itll need latitude seed itll need extra n later dont apply lime ahead encourage takeall second best heavier soil compromised root need moisture
ouch didnt severe probably still chance 18 acres disappointed manage better,ouch didnt severe probably still chance 18 acre disappointed manage better
around first week november seen optimum time sow second soil temperatures reducing therefore takeall fungus becoming less active,around first week november seen optimum time sow second soil temperature reducing therefore takeall fungus becoming le active
takeall risk following always could affect im planning ordering wb seed next week need know add lattitude,takeall risk following always could affect im planning ordering wb seed next week need know add lattitude
takeall effects generally effects severely also takes yield rye also takeall despite people say warm soils early sowing fluffy seedbeds grass weeds like scutch encourage disease lime planting also enourage takeall takeall worse years 2 5 1 break 5 generally tapers fungi soil build compete takeall fungus known takeall decline however certain years even takeall decline disease flare hit crops hard remember real flare takeall 2007 generally wont plant unless break common approach know seen difference recent years latitude questionable terms economic return brainer people dont bother,takeall effect generally effect severely also take yield rye also takeall despite people say warm soil early sowing fluffy seedbed grass weed like scutch encourage disease lime planting also enourage takeall takeall worse year 2 5 1 break 5 generally taper fungi soil build compete takeall fungus known takeall decline however certain year even takeall decline disease flare hit crop hard remember real flare takeall 2007 generally wont plant unless break common approach know seen difference recent year latitude questionable term economic return brainer people dont bother
dont want tempt fate continuous wb block 30 acres past 5 years never used latitude hit either 4 tonacre every block hit bydv waterlogging parts hurt yield never noticed take issue sowing date always early october mostly hybrid using variety soil type bearing,dont want tempt fate continuous wb block 30 acre past 5 year never used latitude hit either 4 tonacre every block hit bydv waterlogging part hurt yield never noticed take issue sowing date always early october mostly hybrid using variety soil type bearing
never seen variety effect soil type effect heavier soils less effected sources n like organic manures etc also help keep plant even roots somewhat compromised disease,never seen variety effect soil type effect heavier soil le effected source n like organic manure etc also help keep plant even root somewhat compromised disease
found bayer website weather also bearing autumn sowings risk especially cold wet seasons marginal soils poor drainage fertility good soils microorganisms better root growth help reduce damage caused disease optimum conditions disease mild moist cool spring dry early summer light alkaline soils also favourable disease use pig slurry ahead sowing block land free draining good slope water logging guess helped good know ph also soil also slightly acidic probably also help,found bayer website weather also bearing autumn sowings risk especially cold wet season marginal soil poor drainage fertility good soil microorganism better root growth help reduce damage caused disease optimum condition disease mild moist cool spring dry early summer light alkaline soil also favourable disease use pig slurry ahead sowing block land free draining good slope water logging guess helped good know ph also soil also slightly acidic probably also help
realising acres rules means meant crops mid october geese swan rules even though never seen either bird near farm must check id exemption allowed ww sowing,realising acre rule mean meant crop mid october goose swan rule even though never seen either bird near farm must check id exemption allowed ww sowing
anyone grown fitzroy yet looks decent trial results,anyone grown fitzroy yet look decent trial result
one one take see uk farming forum reckon little incidence take till competition soil fungi summer cover cropping ground due work commitments know people say total waste time like great cover lot biomass wonder also factor maybe helping competing fungi also maybe supplying later n broken,one one take see uk farming forum reckon little incidence take till competition soil fungi summer cover cropping ground due work commitment know people say total waste time like great cover lot biomass wonder also factor maybe helping competing fungi also maybe supplying later n broken
cant comment notillother soil fungi thing dont know possibility removing host takeall cereal roots introducing plant doesnt like cover short id imagine pig slurry big factor favour pig slurry got abundance phosphorus roots love phosphorus pig slurry got abundance nitrogen helps cereal effects take nitrogen,cant comment notillother soil fungi thing dont know possibility removing host takeall cereal root introducing plant doesnt like cover short id imagine pig slurry big factor favour pig slurry got abundance phosphorus root love phosphorus pig slurry got abundance nitrogen help cereal effect take nitrogen
fitzroy added recommended list autumn yielded reliably official trials good septoria stands well slow developing kph lower id like varieties,fitzroy added recommended list autumn yielded reliably official trial good septoria stand well slow developing kph lower id like variety
got take approached gate less take historical compaction local farmer used flat roll spring also use ammonium sulphate nitrogen source unless reason go break modern prima donna varieties like running bald tyres,got take approached gate le take historical compaction local farmer used flat roll spring also use ammonium sulphate nitrogen source unless reason go break modern prima donna variety like running bald tyre
thanks detailed reply clarification refer break instance beans osr mean consider oats break could reintroduce takeall,thanks detailed reply clarification refer break instance bean osr mean consider oat break could reintroduce takeall
id consider beans osr oats break crops oats might quite effective thats opinion,id consider bean osr oat break crop oat might quite effective thats opinion
worked average yield adjusted 20mc came 39tnac lowest average ever roasting septoria main cause almost unstoppable majority later end november thinner like late inland got rub heavy rain hurt spring crops normally location slightly lower septoria pressure coast way around heavy rain really drove septoria mad worst ever saw straw chopped mostly seed still reasonably good margin stick good us good tougher ground new varieties coming next autumn hopefully new chemistry 2026,worked average yield adjusted 20mc came 39tnac lowest average ever roasting septoria main cause almost unstoppable majority later end november thinner like late inland got rub heavy rain hurt spring crop normally location slightly lower septoria pressure coast way around heavy rain really drove septoria mad worst ever saw straw chopped mostly seed still reasonably good margin stick good u good tougher ground new variety coming next autumn hopefully new chemistry 2026
sowing 25 acres heavy ground backend half afraid reading scalding lads got,sowing 25 acre heavy ground backend half afraid reading scalding lad got
youd better rye week,youd better rye week
following beans trying decide whether give second chance 38t go back graham maybe champion available,following bean trying decide whether give second chance 38t go back graham maybe champion available
take theres hope new syngenta fungicide getting approved 2025 need something new,take there hope new syngenta fungicide getting approved 2025 need something new
following oats heavy ground spring ground neither ever done great oats done 37 17 moisture im thinking change ground grubbed instead ploughed roughly 3 acres,following oat heavy ground spring ground neither ever done great oat done 37 17 moisture im thinking change ground grubbed instead ploughed roughly 3 acre
definitely wont 2025 running uk believe theres important vote europe end,definitely wont 2025 running uk believe there important vote europe end
2 years got burnt change second,2 year got burnt change second
advised sow rhye wb slot im planning end next weekearly following week weather permitting,advised sow rhye wb slot im planning end next weekearly following week weather permitting
sure theres extra rye sold seed week big straw yields rye big plus definitely check end user want one large buyer told week said thinking 20tn price didnt really want,sure there extra rye sold seed week big straw yield rye big plus definitely check end user want one large buyer told week said thinking 20tn price didnt really want
put spread dairy slurry lagoon donated 4 5k gal acre right full needs,put spread dairy slurry lagoon donated 4 5k gal acre right full need
id concerned values slurry may accurate unless tested may leach ploughed roots may reach nutrient,id concerned value slurry may accurate unless tested may leach ploughed root may reach nutrient
lad put digestate bag fert didnt 2tac,lad put digestate bag fert didnt 2tac
youre thinking putting amount slurry closing gate fertiliser hope youre banking kind decent yield thats plan,youre thinking putting amount slurry closing gate fertiliser hope youre banking kind decent yield thats plan
might look k requirement p requirement youll need lot n want achieve regular yield,might look k requirement p requirement youll need lot n want achieve regular yield
still thinking putting compound spring nitrogen,still thinking putting compound spring nitrogen
id sceptical youll much p k kick dairy slurry donated im saying dairy farmer,id sceptical youll much p k kick dairy slurry donated im saying dairy farmer
ever list depressing looking trouble graham much better champion seed extremely scarce rest hardly worth bothering,ever list depressing looking trouble graham much better champion seed extremely scarce rest hardly worth bothering
still diego,still diego
dont know know man still grows avatar,dont know know man still grows avatar
enough break ground harvested decent acreage much doom gloom hard thinking sowing,enough break ground harvested decent acreage much doom gloom hard thinking sowing
new chemical vimoy,new chemical vimoy
